Period,Leningrad Oblast,Lipetsk Oblast,Oryol Oblast,Ryazan Oblast,Smolensk Oblast,Tambov Oblast,Tula Oblast,Tver Oblast,Vladimir Oblast,Voronezh Oblast,Yaroslavl Oblast,Arkhangel'skaya Oblast',Kaliningrad Oblast,Komi Republic,Murmansk Oblast,Novgorod Oblast,Pskov Oblast,Republic of Karelia,Vologda Oblast,Astrakhan Oblast,Moscow,Krasnodar Krai,Republic of Adygea,Republic of Kalmykia,Rostov Oblast,Volgograd Oblast,Chuvash Republic,Kirov Oblast,Mari El Republic,Nizhny Novgorod Oblast',Orenburg Oblast,Moscow Oblast,Belgorod Oblast,Penza Oblast,Perm Krai,Republic of Bashkortostan,Republic of Mordovia,Republic of Tatarstan,Samara Oblast,Saratov Oblast,Udmurt Republic,Ulyanovsk Oblast,Altai Krai,Bryansk Oblast,Altai Republic,Irkutsk Oblast,Kemerovo Oblast,Krasnoyarsk Krai,Novosibirsk Oblast,Omsk Oblast,Republic of Khakassia,Tomsk District,Tyva Republic,Amur Oblast,Ivanovo Oblast,Jewish Autonomous Oblast,Kamchatka Krai,Khabarovsk Krai,Magadan District,Primorsky Krai,Republic of Buryatia,Sakha (Yakutia) Republic,Sakhalin District,Zabaykalsky Krai,Chechen Republic,Kaluga Oblast,Karachay-Cherkess Republic,Republic of Dagestan,Republic of Ingushetia,Republic of North Ossetia — Alania,Stavropol Krai,The Kabardino-Balkar Republic,Chelyabinsk Oblast,Khanty-Mansi Autonomous Okrug — Yugra,Kurgan Oblast,Sverdlovsk Oblast,Kostroma Oblast,Tyumen Oblast,Yamalo-Nenets Autonomous Okrug,Saint Petersburg,Kursk Oblast
2018-10-01,8,0,0,8,0,6,6,16,45,10,2,3,2,23,3,1,0,1,1,3,64181,8,0,0,13,3,4,1,0,44,0,4313,1,4,4,9,0,40,14,5,0,2,44,1,0,24,31,43,139,13,1,10,1,10,4,0,0,29,0,6,1,3,301,12,0,29,0,0,0,0,0,0,14,36,26,419,0,8,1,327,3
2018-11-01,26,3,0,8,3,5,3,52,11,30,7,0,0,14,0,0,5,0,2,0,68073,43,1,1,27,5,1,8,1,54,0,4738,2,1,21,7,0,15,30,2,2,4,0,0,0,42,8,19,201,8,2,4,0,2,11,0,0,25,0,14,0,1,173,5,0,49,0,1,0,0,4,1,3,9,2,309,0,15,0,296,1
2018-12-01,25,2,6,3,4,6,6,34,8,18,10,3,3,0,1,0,0,2,1,2,95437,15,0,0,22,6,4,2,0,43,8,6497,4,8,15,13,0,39,75,11,0,9,1,2,0,24,11,43,146,3,0,0,2,0,9,1,0,31,0,43,8,5,127,4,0,28,0,0,0,1,2,3,10,2,0,280,1,8,2,284,0
2019-01-01,23,1,0,3,3,9,3,8,11,59,5,0,0,4,3,0,0,0,2,0,85690,54,0,0,51,50,0,0,1,101,3,6315,0,3,46,45,0,13,120,46,4,3,1,2,0,34,6,79,128,36,3,2,5,7,11,0,0,109,0,22,0,0,294,8,11,19,1,0,0,0,13,21,53,7,0,265,0,39,10,299,1
2019-02-01,40,5,2,12,12,12,4,6,8,16,15,0,0,7,1,6,0,0,1,0,88076,10,0,3,61,6,0,5,0,58,7,7373,1,5,14,6,0,11,58,11,0,1,1,2,0,32,3,24,90,3,0,11,0,1,10,0,0,120,0,18,0,1,448,4,5,63,0,1,0,0,23,0,8,18,0,213,0,40,24,361,0
2019-03-01,34,0,3,9,2,0,10,18,15,5,38,0,0,6,1,0,3,0,3,30,70940,56,0,4,37,3,1,0,0,73,3,5245,0,0,7,1,2,3,16,5,0,8,0,0,1,11,11,21,258,3,0,0,0,1,3,0,0,94,0,34,1,2,369,3,1,32,0,1,0,0,0,1,10,12,0,163,0,30,0,299,0
2019-04-01,31,7,4,6,0,0,3,38,62,3,16,0,4,2,3,0,0,0,0,5,63452,3,6,0,30,2,0,1,0,21,0,5025,0,4,5,8,3,14,61,1,9,1,2,3,1,35,5,32,232,8,1,0,0,0,7,0,6,29,0,68,0,4,141,0,0,35,1,0,0,0,0,0,7,8,0,212,3,24,2,311,0
2019-05-01,34,3,1,12,0,8,9,74,18,9,7,0,8,0,2,0,1,0,0,0,54042,9,42,0,14,9,13,0,0,24,1,4576,0,7,3,17,2,13,20,0,0,0,4,3,0,24,6,19,224,6,0,3,0,4,17,0,0,64,0,23,4,3,228,0,0,29,0,1,0,0,9,0,12,3,4,172,0,14,0,298,0
2019-06-01,51,6,2,8,1,0,5,44,29,8,9,0,3,2,2,2,0,1,3,0,47919,6,7,0,20,7,3,18,1,56,1,3770,0,2,7,18,0,10,23,1,1,4,2,2,0,13,6,33,212,3,0,4,0,0,25,14,1,3,0,128,0,9,260,3,0,31,0,0,0,0,1,0,10,3,0,253,0,1,0,257,9
2019-07-01,23,0,0,6,3,0,4,18,18,40,11,0,2,0,0,0,0,0,0,2,35588,13,0,1,43,10,1,0,0,18,0,2812,1,2,29,31,0,27,48,8,2,0,1,1,0,69,4,71,146,45,0,7,0,0,13,0,0,5,0,68,0,11,287,0,0,14,0,1,0,1,6,0,24,0,0,114,0,5,0,147,9
2019-08-01,14,2,0,5,1,0,4,12,20,9,8,2,2,0,1,0,3,0,0,3,32051,42,3,0,20,25,0,0,0,5,0,2348,0,0,10,0,0,24,43,40,0,0,0,2,0,22,1,32,110,9,5,0,0,0,10,0,1,0,0,82,0,1,481,0,0,14,0,3,0,0,2,3,7,8,0,187,0,25,2,101,0
2019-09-01,16,3,0,1,2,3,3,13,8,19,0,0,2,0,2,0,2,0,5,0,37072,47,5,0,52,20,2,1,1,14,1,2399,0,0,4,12,0,10,17,6,4,0,1,0,0,21,0,42,110,45,15,1,0,0,6,0,0,1,0,39,1,6,647,3,0,11,0,0,0,0,3,2,8,16,0,107,1,8,7,227,0
2019-10-01,32,1,0,2,0,0,1,4,34,5,0,1,3,1,0,0,4,1,1,7,39732,16,0,0,22,11,0,0,2,26,1,2975,2,1,2,3,14,28,29,13,2,1,0,5,0,166,10,30,74,7,0,6,0,1,4,0,0,1,0,28,2,3,697,0,0,65,3,0,0,0,1,0,43,6,0,132,0,25,1,253,0
2019-11-01,10,8,0,7,0,0,2,3,53,6,2,0,2,0,0,1,6,0,0,1,40675,14,0,0,29,6,0,1,0,48,1,2922,0,5,10,11,3,31,20,9,0,0,3,0,0,235,3,23,174,8,1,0,0,14,0,0,0,2,0,23,5,3,669,1,5,25,1,1,0,0,0,0,17,6,3,114,2,16,2,228,1
2019-12-01,5,4,0,8,0,0,13,3,14,5,1,0,0,0,0,0,0,0,6,0,51222,29,0,0,21,3,1,0,0,32,2,3843,1,1,17,12,0,22,42,10,0,3,0,2,1,164,1,15,170,8,0,0,0,0,4,0,3,0,0,9,2,2,728,1,1,23,0,0,0,0,2,3,144,5,0,124,0,22,6,633,0
2020-01-01,15,2,2,5,0,0,3,53,12,4,1,0,0,3,0,1,0,0,3,0,48894,7,0,0,21,8,0,1,6,16,1,3521,0,3,20,19,0,9,47,5,1,11,2,0,0,116,11,34,110,14,0,0,0,2,11,0,0,3,0,15,0,4,514,3,0,15,0,0,0,0,2,0,15,17,0,119,0,26,6,219,3
2020-02-01,32,1,0,9,2,0,30,31,16,9,0,1,0,0,2,0,1,0,5,2,48607,24,0,0,9,4,0,0,1,27,0,3342,0,0,6,6,1,4,20,2,0,2,1,0,0,333,4,20,101,5,0,0,0,11,5,1,0,7,0,10,0,5,520,5,0,13,0,1,0,0,2,1,4,6,0,97,0,9,3,159,1
2020-03-01,20,0,0,16,5,1,6,16,3,5,1,1,2,0,0,7,0,0,13,0,32759,14,0,0,20,5,1,0,0,63,2,2268,0,0,5,9,2,7,5,0,0,4,5,1,0,83,1,35,92,4,2,0,0,1,8,0,5,1,0,5,0,3,256,1,2,25,0,0,0,1,6,4,4,10,0,111,0,10,4,134,1
2020-04-01,8,10,0,0,11,0,6,9,11,4,5,0,0,0,0,1,16,0,7,0,47688,15,0,0,10,10,1,1,0,17,1,3546,2,0,11,6,12,15,13,6,0,0,2,0,2,101,3,16,67,6,2,1,0,3,5,3,0,0,0,6,0,0,617,0,0,16,3,1,2,0,2,3,8,7,3,191,4,1,2,299,1
2020-05-01,12,0,0,8,3,8,3,6,26,4,6,0,2,1,0,0,2,0,2,2,50765,8,3,0,8,7,0,0,0,17,1,3208,0,0,15,1,5,9,10,2,0,6,1,0,0,45,0,16,64,4,0,2,0,5,6,0,1,3,0,13,0,9,478,0,1,6,0,10,0,1,8,0,4,6,0,244,5,14,1,333,1
2020-06-01,9,3,0,20,5,2,2,25,20,7,13,1,0,1,2,0,1,0,23,2,34930,31,3,0,36,10,4,0,0,26,1,2432,0,0,14,15,1,52,26,10,0,5,4,2,0,63,7,27,94,18,0,1,0,3,15,0,0,2,0,9,0,3,263,2,0,31,2,2,0,3,0,2,32,4,0,123,2,19,1,388,5
2020-07-01,30,3,0,31,2,1,1,9,12,15,11,1,0,1,5,0,2,0,5,3,25872,6,0,0,9,6,0,2,0,15,1,1909,1,0,4,2,4,6,5,0,0,1,3,2,0,66,11,9,34,4,0,6,0,0,23,0,1,0,0,28,0,2,177,3,0,7,0,0,0,0,5,2,9,6,0,45,0,28,0,345,2
2020-08-01,3,5,0,16,0,5,11,3,18,3,0,0,0,4,2,0,6,0,5,0,19688,12,0,0,28,2,0,3,0,30,3,1917,1,0,8,2,1,14,13,0,2,5,2,0,1,95,11,10,84,16,2,1,1,2,13,0,3,2,0,7,2,4,162,12,0,7,0,2,1,0,0,0,4,7,0,66,0,21,3,384,1
2020-09-01,11,3,0,21,2,0,15,34,7,5,3,0,5,3,1,6,6,0,4,2,20261,21,0,0,8,4,0,1,0,7,1,1700,0,0,2,4,0,14,12,1,0,2,7,2,0,106,1,9,73,7,1,1,0,7,2,0,0,4,0,11,0,1,218,6,0,12,0,1,0,0,3,0,7,14,0,143,0,7,7,417,2
2020-10-01,14,0,0,5,0,2,6,21,8,4,1,1,0,1,7,2,3,0,12,2,22969,16,0,0,16,6,1,0,0,41,1,1979,0,0,4,5,0,11,34,3,0,12,3,0,0,72,2,22,113,8,0,0,1,0,3,2,0,0,0,28,0,4,240,2,0,7,8,1,0,0,4,2,12,4,1,303,0,5,2,401,0
2020-11-01,4,2,6,4,1,1,13,10,12,30,13,2,1,2,0,0,0,0,3,4,24827,31,0,0,11,37,2,1,0,100,1,1665,0,0,7,2,2,29,47,0,0,0,1,1,1,70,2,17,115,28,1,2,1,3,5,0,0,13,1,18,0,2,327,1,0,7,4,1,0,0,2,3,14,6,0,98,1,8,7,422,0
2020-12-01,10,3,1,7,8,2,26,4,38,10,11,0,4,3,2,2,1,0,2,1,35047,45,0,0,17,10,1,2,0,25,1,2534,2,0,4,7,0,11,22,4,1,1,2,2,0,27,5,38,70,5,1,5,0,2,6,0,0,7,0,6,1,1,330,6,0,12,9,2,0,1,0,1,9,2,0,59,0,5,0,416,9
2021-01-01,4,7,0,2,12,0,7,21,7,2,2,0,2,2,1,1,3,0,2,4,29222,22,0,0,42,24,0,1,1,40,2,2053,0,1,30,7,0,9,8,9,0,0,4,0,0,22,12,13,52,14,2,0,0,4,0,0,6,1,1,9,1,4,180,2,1,8,0,1,0,0,5,3,7,6,0,81,2,20,1,172,2
2021-02-01,9,9,0,7,5,0,10,131,14,17,5,0,3,5,17,0,0,2,0,1,34894,34,0,0,52,31,0,4,0,87,1,2388,1,1,20,30,0,25,30,18,2,0,0,4,0,5,2,39,82,22,2,3,0,4,2,0,1,0,0,20,1,3,84,0,0,31,1,1,0,0,1,2,18,3,0,145,2,2,8,283,1
2021-03-01,14,6,1,8,3,2,22,7,7,4,1,0,0,3,9,1,1,0,3,4,29021,34,1,2,70,35,0,0,0,86,1,2429,0,0,1,5,4,2,6,2,5,1,1,4,0,16,5,27,25,3,3,3,0,6,3,0,3,2,0,8,4,4,113,1,5,11,0,4,0,0,5,0,2,23,6,166,0,10,2,289,1
2021-04-01,23,8,5,13,1,2,39,19,10,0,3,0,1,2,10,1,0,4,0,32,25634,30,0,0,89,42,1,0,1,89,0,2628,2,8,3,0,1,4,5,5,1,2,2,2,0,14,3,19,78,2,0,7,1,8,5,0,3,0,0,11,0,16,66,1,1,15,5,1,0,0,0,1,2,14,1,82,0,4,1,253,0
2021-05-01,38,9,0,2,7,3,9,11,11,2,0,2,1,1,7,0,0,0,3,8,23250,10,0,0,43,32,1,0,0,51,0,2229,2,1,6,2,0,7,3,4,0,0,1,0,0,64,0,17,59,1,1,7,1,3,8,0,0,0,0,18,0,0,85,1,1,16,0,1,0,0,1,0,6,6,1,131,4,10,2,373,2
2021-06-01,27,1,7,11,1,4,6,1,9,5,2,3,0,2,0,0,0,0,0,5,25008,14,0,0,20,4,4,0,1,36,4,1899,2,0,4,7,0,14,0,2,5,0,2,2,0,63,18,19,104,15,0,14,0,2,1,0,0,2,0,14,0,15,118,0,0,12,2,0,2,0,4,0,6,6,4,77,3,5,3,283,1
2021-07-01,14,2,6,3,1,1,13,5,4,4,4,0,2,7,2,1,0,0,1,1,20712,14,0,3,15,1,1,0,0,21,3,1628,5,0,4,4,0,15,4,4,2,1,1,2,0,16,13,12,33,2,1,6,0,2,13,0,2,3,0,8,0,0,144,2,0,10,1,2,0,0,15,2,6,1,1,68,0,14,12,381,6
2021-08-01,26,12,0,3,8,2,46,17,6,1,17,0,8,6,3,17,2,0,1,2,20498,16,0,0,18,1,3,3,1,25,0,2324,0,3,2,4,3,12,6,1,0,0,3,0,0,6,4,47,63,1,0,0,1,5,32,0,0,0,0,33,0,3,100,1,0,14,1,0,0,0,0,0,4,10,4,51,0,4,4,292,2
2021-09-01,11,4,5,1,4,4,15,7,12,8,6,0,5,2,0,18,0,0,3,10,25161,15,0,1,29,8,7,1,0,41,0,2490,3,2,3,12,0,7,4,0,2,1,1,1,0,4,4,15,55,0,2,0,0,5,12,0,2,3,0,3,1,4,55,2,0,44,0,1,0,0,0,1,3,12,0,98,0,5,4,222,0
2021-10-01,31,0,1,20,0,0,29,9,10,7,29,0,8,4,0,1,1,1,0,0,25804,25,0,0,24,3,4,0,0,43,1,2722,1,0,3,6,1,2,13,2,20,6,51,1,0,31,0,16,54,5,2,5,0,11,2,1,0,2,0,16,2,11,266,11,0,11,0,1,2,0,7,1,16,12,0,223,1,3,0,235,14
2021-11-01,35,15,0,15,13,0,15,34,15,8,17,3,7,1,14,1,0,0,3,0,25245,32,1,0,31,5,4,0,0,69,1,3272,7,2,10,6,1,12,77,13,9,1,44,5,2,33,1,11,81,12,3,6,3,3,20,0,1,0,0,9,0,4,131,1,3,17,0,1,10,0,4,3,1,15,0,91,2,5,0,536,31
2021-12-01,18,4,6,5,10,0,18,36,26,7,10,3,7,7,0,4,0,2,2,5,32790,34,2,0,22,6,3,3,0,91,2,4025,15,4,5,3,5,9,26,14,5,3,15,3,0,21,3,17,103,4,0,4,0,0,22,3,0,1,2,3,0,20,86,3,1,13,0,1,0,0,2,1,10,18,0,46,4,18,11,475,17
2022-01-01,32,3,8,2,2,1,6,25,12,13,7,3,38,3,0,1,1,3,2,1,27431,14,0,0,8,6,1,1,0,50,2,3118,2,0,2,4,9,9,4,4,6,0,3,1,0,20,4,28,112,3,0,1,0,1,9,0,0,8,0,8,0,7,29,2,0,75,0,9,0,0,7,1,4,9,0,93,5,9,8,531,6
2022-02-01,25,5,0,4,3,5,23,16,23,9,5,0,13,7,11,2,0,6,3,0,30820,12,1,0,38,5,4,0,0,57,3,3222,7,7,3,6,1,10,13,1,4,1,3,22,0,39,17,12,74,3,0,3,0,7,22,0,1,4,1,12,1,5,48,10,0,32,0,0,0,0,1,2,26,3,0,85,3,24,3,415,6
2022-03-01,24,8,2,4,1,6,14,12,20,24,15,18,0,2,2,0,1,0,4,19,24363,88,0,1,19,2,2,3,1,36,1,2853,13,3,0,5,1,11,6,0,3,20,1,2,0,16,3,36,49,16,0,2,0,3,23,0,1,4,1,17,0,22,66,1,1,26,1,3,0,0,0,1,6,7,8,95,1,14,1,284,8
2022-04-01,19,6,0,8,0,1,13,18,11,5,11,7,4,5,5,0,1,0,0,20,18872,32,0,0,18,0,0,0,0,43,13,2075,6,6,8,5,0,3,4,1,1,5,2,0,0,14,5,15,52,1,1,0,0,5,5,0,0,2,1,3,0,15,35,8,0,39,0,2,0,0,1,16,16,10,1,42,0,3,0,237,7
2022-05-01,19,15,0,9,5,0,3,18,25,4,21,0,0,1,17,0,2,0,10,22,15023,28,1,0,11,4,0,0,0,53,1,1796,4,3,3,0,1,8,12,6,0,2,0,0,0,27,2,53,30,0,1,0,1,6,7,0,0,2,2,3,0,9,42,0,2,25,0,9,0,0,5,0,8,10,0,34,0,6,2,291,1
2022-06-01,22,3,1,2,0,2,11,12,19,1,7,8,2,4,11,0,3,0,12,25,12679,21,0,1,5,0,2,0,0,28,2,1574,3,1,3,3,0,5,11,2,5,2,0,8,5,22,1,24,49,2,3,0,0,6,9,0,1,2,0,6,0,4,48,2,1,19,0,1,0,0,5,7,31,7,1,63,1,19,0,188,1
2022-07-01,21,1,7,12,0,2,19,3,10,11,0,1,0,0,3,6,1,0,17,0,10829,16,0,0,12,9,0,0,0,20,3,1387,2,0,5,3,13,18,2,3,0,0,0,2,0,17,0,12,27,1,0,0,0,3,9,0,3,1,0,3,0,6,31,0,1,17,0,3,0,1,2,0,5,5,0,65,1,13,5,152,1
2022-08-01,7,1,1,2,0,19,6,2,8,9,0,2,0,4,3,1,4,0,20,5,8769,16,0,2,8,5,0,0,4,26,0,918,7,0,1,1,0,5,4,1,2,0,2,5,12,7,2,48,24,1,13,8,3,1,7,0,3,6,0,5,0,0,21,3,0,10,0,1,0,0,3,0,6,3,0,60,1,13,13,93,1
2022-09-01,20,10,0,3,2,1,3,9,10,0,6,0,1,3,4,1,0,3,4,1,9429,6,0,0,19,1,1,0,0,41,0,946,0,3,2,1,0,5,13,5,0,2,1,5,3,18,0,21,33,9,0,5,0,2,2,0,0,2,0,14,0,6,12,5,0,6,2,6,0,0,6,0,13,0,0,26,1,4,0,155,0
2022-10-01,22,1,0,3,2,0,5,19,5,7,10,0,4,0,3,0,0,0,0,1,9103,16,0,0,18,5,3,0,0,23,7,956,16,1,7,3,2,6,9,5,1,2,1,0,6,14,11,20,44,3,1,0,0,4,5,0,0,1,0,16,0,1,13,1,0,10,1,0,3,0,0,3,2,9,0,93,0,10,8,348,0
2022-11-01,13,1,2,10,6,3,17,2,11,4,1,0,0,0,0,1,0,1,2,3,7553,16,7,0,10,3,2,0,0,21,0,922,2,0,6,1,2,8,10,0,2,3,2,21,0,7,18,13,52,10,0,4,0,3,6,0,2,3,0,0,0,0,5,0,0,15,0,0,0,0,2,0,0,7,1,52,0,3,0,117,0
2022-12-01,23,0,2,16,3,0,17,10,9,2,3,0,1,0,12,0,0,0,1,5,8944,14,0,0,46,3,1,0,1,32,2,1046,0,4,6,2,0,14,22,4,3,15,8,5,6,9,3,11,41,6,0,1,0,3,2,0,0,2,0,6,2,12,6,14,1,12,0,2,0,0,0,0,0,6,0,30,0,3,3,114,0
2023-01-01,14,2,2,11,3,0,43,24,10,1,9,5,1,15,2,1,0,5,1,10,8248,27,0,0,43,4,1,1,0,20,3,1228,5,1,0,19,1,6,13,1,0,2,3,1,0,16,7,30,22,6,0,1,2,3,2,0,0,0,0,5,3,1,13,21,0,6,0,0,0,0,0,1,11,7,1,102,0,12,1,119,2
2023-02-01,6,1,4,3,0,3,17,3,0,3,5,2,0,12,0,0,0,0,1,3,8661,26,0,0,3,3,0,0,1,7,2,1148,1,0,2,7,0,12,15,7,0,0,0,0,0,19,9,15,32,1,0,0,0,2,5,0,0,1,1,6,2,11,13,0,0,15,0,1,0,0,2,0,12,14,3,50,0,3,8,111,2
2023-03-01,10,1,0,4,6,0,17,11,2,1,8,0,0,0,3,0,0,1,0,8,7391,4,0,0,6,1,0,0,0,21,0,825,1,4,8,1,0,7,7,2,0,0,0,0,0,17,3,18,18,1,0,0,0,1,2,0,0,1,0,1,2,9,33,0,0,7,0,0,0,0,0,0,4,7,0,27,0,6,8,194,0
2023-04-01,10,1,0,1,0,1,4,22,4,9,0,0,0,0,0,0,1,0,0,0,6106,8,0,0,3,2,0,1,1,7,2,814,2,4,3,1,1,6,3,9,0,1,0,0,0,7,1,4,20,0,0,0,0,0,5,0,1,0,0,1,5,5,8,0,0,8,2,0,0,0,0,3,4,6,0,19,0,15,1,150,1
2023-05-01,4,2,0,14,1,5,3,11,7,2,2,0,0,0,3,0,3,0,2,1,4472,7,0,0,1,2,1,0,0,6,0,592,1,0,5,1,2,9,5,0,0,0,0,0,0,11,0,5,16,0,0,0,0,3,1,0,2,8,1,5,0,0,11,3,4,7,1,0,0,0,5,0,25,1,0,25,1,4,2,73,0
2023-06-01,11,0,0,9,6,0,8,1,6,2,4,0,1,0,3,0,0,0,2,4,4714,13,0,0,7,0,0,1,0,4,0,661,5,1,3,9,0,7,1,2,0,0,0,0,0,13,3,32,19,0,0,0,1,7,4,0,2,4,0,11,1,1,16,1,0,3,0,2,0,0,3,0,0,4,0,46,0,3,0,90,0
2023-07-01,5,1,4,2,2,0,3,9,6,4,4,0,4,5,0,0,0,1,2,0,4285,21,0,1,5,14,0,1,0,8,1,588,1,23,9,4,0,5,2,0,0,0,7,0,1,15,0,135,33,32,0,1,0,2,1,0,1,10,0,0,0,3,16,0,0,9,0,1,0,0,1,4,12,3,0,67,2,2,0,78,3
2023-08-01,13,1,0,0,1,1,4,9,8,0,2,0,1,1,4,0,0,0,0,1,3989,16,1,0,11,2,0,0,0,8,2,476,0,3,3,11,0,13,12,0,0,0,0,0,0,32,2,13,29,6,0,0,2,0,1,0,6,6,0,5,0,12,4,2,0,8,0,0,0,0,1,5,7,4,0,63,1,17,4,83,2
2023-09-01,13,0,0,9,0,0,0,7,9,2,0,1,0,0,0,0,0,0,0,1,4581,6,0,0,13,0,2,0,0,4,5,604,0,1,5,1,0,21,4,3,0,1,4,0,0,6,4,7,24,2,4,1,1,29,1,0,7,5,1,1,0,10,7,2,0,3,0,1,0,0,1,9,0,6,0,45,4,11,2,52,0
2023-10-01,7,0,0,6,0,3,32,3,5,0,3,0,0,0,3,0,1,0,0,1,4860,29,0,0,25,0,0,0,0,6,2,656,9,3,0,3,0,2,7,27,1,0,2,2,2,8,0,10,34,0,0,0,0,16,1,0,5,8,0,0,1,4,2,15,0,4,0,0,1,0,1,0,6,7,0,31,0,37,2,73,2
2023-11-01,6,1,1,3,5,0,5,6,33,11,1,0,0,5,0,0,0,0,5,8,5277,13,4,0,3,1,2,0,0,5,2,651,3,1,0,6,0,9,11,7,0,3,0,1,1,13,3,5,20,8,1,4,0,1,0,0,3,26,0,1,1,13,16,4,0,6,0,3,0,0,1,6,9,5,0,28,0,21,3,46,0
