Period,Kaluga Oblast,Kostroma Oblast,Kursk Oblast,Lipetsk Oblast,Oryol Oblast,Ryazan Oblast,Smolensk Oblast,Tver Oblast,Tula Oblast,Yaroslavl Oblast,Saint Petersburg,Leningrad Oblast,Arkhangel'skaya Oblast',Vologda Oblast,Kaliningrad Oblast,Murmansk Oblast,Novgorod Oblast,Pskov Oblast,Republic of Karelia,Komi Republic,Moscow,Kirov Oblast,Nizhny Novgorod Oblast',Orenburg Oblast,Penza Oblast,Perm Krai,Republic of Bashkortostan,Mari El Republic,Republic of Mordovia,Republic of Tatarstan,Samara Oblast,Moscow Oblast,Saratov Oblast,Udmurt Republic,Ulyanovsk Oblast,Chuvash Republic,Astrakhan Oblast,Volgograd Oblast,Krasnodar Krai,Republic of Kalmykia,Rostov Oblast,Altai Krai,Belgorod Oblast,Irkutsk Oblast,Kemerovo Oblast,Krasnoyarsk Krai,Novosibirsk Oblast,Omsk Oblast,Altai Republic,Tyva Republic,Republic of Khakassia,Tomsk District,Amur Oblast,Bryansk Oblast,Jewish Autonomous Oblast,Zabaykalsky Krai,Kamchatka Krai,Magadan District,Primorsky Krai,Republic of Buryatia,Sakha (Yakutia) Republic,Sakhalin District,Khabarovsk Krai,The Kabardino-Balkar Republic,Vladimir Oblast,Karachay-Cherkess Republic,Republic of Dagestan,Republic of Ingushetia,Republic of North Ossetia — Alania,Stavropol Krai,Chechen Republic,Kurgan Oblast,Sverdlovsk Oblast,Tyumen Oblast,Khanty-Mansi Autonomous Okrug — Yugra,Voronezh Oblast,Chelyabinsk Oblast,Yamalo-Nenets Autonomous Okrug,Ivanovo Oblast
17987,0,0,0,0,0,2e-6,0,0,0,0,1.02e-6,6.93e-6,0,0,0,0,8.4e-6,0,0,2.6e-6,1.6e-5,0,6.99e-6,0,0,0,1.1e-5,0,0,4e-5,5.45e-6,4.5e-6,0,0,4.5e-6,2.2e-6,0,0,1.18e-6,0,4.9e-7,0,0,2.06e-6,0,4.87e-6,6.91e-6,4.02e-6,0,5.46e-5,0,0,0,0,0,0,0,0,3.69e-6,0,0,0,0,0,0,0,0,0,0,1.08e-6,0,0,2.67e-6,1.41e-6,0,0,1.35e-6,0,0
18017,6.8e-6,0,0,0,0,0,0,0,0,1.6e-6,1.37e-6,7.23e-6,0,0,0,0,4.6e-6,0,4.3e-6,1.86e-5,8.8e-6,0,0,1.68e-6,0,0,6.5e-6,0,8.3e-6,3.5e-5,5.4e-7,4.8e-6,0,0,0,1.28e-5,3.6e-6,0,4e-7,0,1.61e-6,0,0,1.159e-5,1.1e-6,2.8e-6,7.63e-6,5.74e-6,0,1.476e-4,0,0,0,0,0,0,0,0,6.65e-6,0,0,0,0,6.6e-6,1.77e-6,0,0,0,0,0,0,0,4.37e-6,3.08e-6,1.7e-6,0,0,0,0
18048,0,0,0,0,0,0,0,0,0,0,2.49e-6,2.77e-6,0,0,0,0,0,0,0,0,9.7e-6,0,4.8e-7,0,0,3.21e-6,7.2e-6,0,0,3.3e-5,3.25e-6,6.5e-6,1.09e-6,0,0,2.5e-6,0,0,0,0,0,0,0,7.18e-6,0,3.84e-6,1.69e-6,0,1.77e-5,1.723e-4,0,0,0,0,0,0,0,0,2.73e-6,0,6.3e-6,6.77e-5,0,0,0,0,0,0,0,1.13e-6,0,0,5.96e-6,3.22e-6,0,0,5.43e-6,1.87e-5,0
18078,0,0,0,0,0,0,0,0,0,0,2.74e-6,0,0,2.1e-6,3.1e-6,0,0,0,0,0,1.43e-5,0,2.49e-6,3.32e-6,0,1.02e-6,1.54e-5,0,0,4.9e-5,3.68e-6,2.1e-6,0,3.66e-6,4.9e-6,2.5e-6,0,0,0,0,0,0,0,2.37e-6,0,7.41e-6,3.39e-6,0,0,2.375e-4,5.9e-6,3e-6,5.8e-6,0,0,0,0,0,2.69e-6,0,0,1.105e-4,0,0,0,0,0,0,0,0,0,0,3.34e-6,0,1.102e-5,0,0,2.97e-5,0
18109,0,0,0,0,0,0,0,0,0,0,2.7e-6,0,0,0,0,0,0,0,0,8.8e-6,1.07e-5,0,6.55e-6,0,0,2.93e-6,5.1e-6,0,0,5.2e-5,6.9e-6,4.1e-6,0,6.74e-6,0,0,6.5e-6,0,3.6e-7,0,0,1.28e-6,0,4.19e-6,0,1.256e-5,1.05e-6,1.31e-6,1.7e-5,9.48e-5,0,2.7e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1e-6,0,0,0,0,0,2.75e-6,4.15e-6,0,9.1e-7,0,1.36e-5,2.6e-6
18140,0,0,0,0,0,0,0,0,0,0,2.54e-6,5.11e-6,0,0,0,1.59e-5,0,0,0,0,9.6e-6,3.3e-6,1.63e-6,0,0,1.68e-6,8.8e-6,4.3e-6,0,3.7e-5,2.79e-6,3.8e-6,0,0,0,0,0,0,0,0,0,0,0,8.23e-6,0,2.87e-6,6.26e-6,1.13e-6,0,2.085e-4,0,4.6e-6,0,0,0,0,2.01e-5,0,1.111e-5,0,8.8e-6,0,0,0,0,0,2e-6,0,0,0,0,0,1.25e-6,7.51e-6,9e-6,0,0,0,0
18170,3.6e-6,0,0,0,0,0,0,0,2.65e-6,0,1.83e-6,0,0,3.5e-6,2.6e-6,0,0,0,0,5e-6,1.07e-5,0,1.58e-6,1.29e-6,0,3.41e-6,1.3e-5,0,1.9e-5,6.4e-5,1.9e-6,1.06e-5,5.16e-6,0,0,9.7e-6,0,0,0,4.2e-5,4.8e-7,4.3e-6,0,2.72e-6,8.8e-7,8.56e-6,3.38e-6,2.22e-6,4.08e-5,3.03e-5,1.44e-5,0,0,0,0,4.8e-6,9.5e-6,0,0,3.6e-6,8.6e-6,1.28e-5,0,0,0,0,5.7e-6,0,0,0,0,0,4.37e-6,2.44e-6,1.25e-6,0,1.69e-6,3.7e-6,0
18201,8.7e-6,0,0,0,2.5e-6,0,0,0,0,0,1.62e-6,1.22e-6,0,0,0,0,0,0,0,0,1.39e-5,0,0,1.22e-6,1.6e-6,8.2e-7,2.12e-5,0,0,5.4e-5,9.4e-7,5.3e-6,0,0,1.8e-6,5.4e-6,0,9.2e-7,3.3e-7,0,9.2e-7,0,0,2.58e-6,0,6.83e-6,2.7e-6,0,0,1.218e-4,0,0,0,0,0,0,0,0,2.66e-6,0,8e-6,0,0,0,0,0,0,0,0,0,0,0,3.66e-6,1.18e-6,0,0,2.17e-6,0,0
18231,0,0,0,0,0,1.6e-6,0,0,0,0,1.25e-6,0,0,0,0,0,0,0,0,0,1.23e-5,5e-6,3.75e-6,1.19e-6,0,4.11e-6,1.4e-5,0,8.6e-6,6.3e-5,2.36e-6,1.29e-5,0,0,1.91e-5,1.38e-5,0,3.62e-6,0,0,1.76e-6,0,0,2.54e-6,0,5.38e-6,1.75e-6,1.08e-6,0,4.05e-5,0,2.1e-6,0,0,0,0,0,0,2.6e-6,0,0,0,9e-6,0,0,2.54e-5,0,0,0,1.74e-6,0,0,4.55e-6,0,1.16e-6,0,0,0,0
18262,3.5e-6,3.3e-6,0,0,0,0,0,0,0,0,1.08e-6,1.24e-6,0,0,5.1e-6,0,0,0,0,0,1.04e-5,0,3.9e-6,2.39e-6,1.6e-6,0,3.26e-5,0,1.15e-5,9.7e-5,3.9e-6,1.22e-5,0,7.27e-6,3.5e-6,1.8e-6,0,0,3.3e-7,0,9.1e-7,0,0,0,0,5.59e-6,0,1.12e-6,2.53e-5,2.748e-4,9e-6,0,0,0,0,2.2e-6,0,0,0,0,7.6e-6,1.18e-5,0,0,0,0,0,0,0,0,0,0,5.27e-6,0,4.71e-6,0,1.276e-5,0,0
18293,0,0,0,1.5e-6,0,0,0,0,0,0,2.09e-6,0,0,0,9.5e-6,0,0,0,0,6.5e-6,9.8e-6,0,1.11e-6,0,0,2.32e-6,1.31e-5,0,2.7e-6,4.2e-5,2.19e-6,5.7e-6,0,0,0,0,0,0,3.1e-7,0,0,0,0,6.46e-6,1.49e-6,0,4.26e-6,1.03e-6,0,1.27e-4,8.2e-6,0,0,0,0,0,0,0,3.7e-6,0,0,1.58e-5,0,0,0,0,0,0,0,0,0,0,3.17e-6,1.07e-6,0,0,1.05e-6,0,0
18322,0,0,0,0,0,0,0,0,0,0,2.66e-6,8.3e-7,0,0,3.8e-6,0,0,0,0,0,7.9e-6,2.4e-6,8.8e-7,2.52e-6,0,0,1.4e-5,0,4e-6,6.1e-5,2.42e-6,3e-6,0,0,0,1.2e-6,1.9e-6,0,0,0,7e-7,0,0,1.89e-6,0,6.82e-6,3.63e-6,0,0,2.77e-5,0,0,0,0,0,0,6.4e-6,0,0,0,2.7e-6,4.3e-6,4e-6,3.2e-6,0,0,0,0,0,0,0,0,1.64e-6,5.31e-6,0,0,1.25e-6,0,0
18353,0,0,0,0,0,1.2e-6,0,2.5e-6,1.06e-6,1.1e-6,1.53e-6,8.8e-7,0,0,8.6e-6,0,0,0,0,0,7.9e-6,0,0,0,1.3e-6,0,1.42e-5,0,2.4e-6,6.1e-5,5.29e-6,3.6e-6,4.94e-6,1.21e-6,1.33e-5,0,0,1.55e-6,5.6e-7,0,0,0,0,5.05e-6,1.98e-6,1.69e-6,5.1e-6,0,0,6.06e-5,0,0,0,2.5e-6,0,0,0,0,0,0,0,4.6e-6,3.1e-6,8.3e-6,0,0,0,0,0,0,0,0,5.5e-7,2.13e-6,9.5e-7,0,0,2.7e-6,0
18383,0,0,0,0,0,0,0,0,0,0,3.7e-6,5.07e-6,0,0,7.7e-6,0,0,0,0,0,1.03e-5,0,0,0,0,0,2.52e-5,0,0,2.1e-5,2.68e-6,4.2e-6,0,0,0,3.6e-6,2.7e-6,0,0,0,0,0,0,2.64e-6,0,6.85e-6,3.45e-6,0,0,2.38e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32e-6,1.18e-6,5.96e-6,0,2.29e-6,0,0
18414,0,0,0,0,0,0,0,0,0,0,2.98e-6,1.06e-6,0,0,5.2e-6,6e-6,0,0,0,0,7.7e-6,0,1.92e-6,1.31e-6,0,0,1.81e-5,0,0,3.7e-5,1.87e-6,2.2e-6,0,3.24e-6,2e-6,0,0,0,0,0,0,0,0,3.88e-6,0,2.27e-6,3.55e-6,0,1.24e-5,1.288e-4,0,0,0,0,0,0,0,0,1.687e-5,3.7e-6,0,2.49e-5,0,0,0,1.39e-5,0,0,0,0,0,0,4.22e-6,1.31e-6,1.41e-6,0,0,0,0
18444,0,0,0,0,0,6.9e-6,0,0,0,0,3.16e-6,1.14e-6,0,0,0,3e-6,0,0,0,0,9.3e-6,0,5.82e-6,1.29e-6,0,3.66e-6,2.3e-6,0,0,1.9e-5,1.82e-6,4.1e-6,0,0,0,2e-6,0,0,3e-7,0,0,0,0,2.83e-6,0,6.12e-6,1.5e-6,0,0,1.344e-4,0,0,0,0,0,0,0,0,4.08e-6,0,4.6e-6,3.11e-5,0,0,2.78e-6,0,3.9e-6,0,0,0,0,0,6.74e-6,5.28e-6,1.44e-6,0,1.88e-6,4.6e-6,0
18475,0,0,0,0,0,0,0,0,0,0,1.4e-6,1.17e-6,0,1.6e-6,9.5e-6,2.5e-6,0,0,0,0,1.1e-5,0,3.34e-6,1.1e-6,1.5e-6,8.2e-7,4.18e-5,3.8e-6,1.4e-5,4.6e-5,1.65e-6,2.9e-6,8.2e-7,0,5e-6,0,1.55e-5,0,0,0,0,0,0,2.45e-6,0,1.96e-6,3.54e-6,0,0,1.01e-4,4.3e-6,0,0,0,0,0,0,0,0,0,7.2e-6,2.33e-5,0,0,1.29e-6,0,0,0,0,0,0,0,8.89e-6,8.05e-6,2.33e-6,0,2.2e-6,7.2e-6,0
18506,0,0,3e-6,0,0,0,0,0,1.11e-6,3.5e-6,9.4e-7,0,0,4.5e-6,0,0,0,0,0,0,8.8e-6,0,2.05e-6,0,0,7.1e-7,1.03e-5,0,4.8e-6,5.9e-5,4.9e-7,2e-6,7.2e-7,0,0,1.18e-5,0,0,8.2e-7,0,8.1e-7,0,0,1.42e-6,0,5.3e-7,1.58e-6,9.2e-7,0,3.13e-5,0,1.8e-6,0,0,0,0,0,0,0,0,0,0,0,0,1.11e-6,0,1.5e-6,0,0,0,0,0,5.49e-6,9.9e-7,0,0,1.45e-6,2.96e-5,0
18536,0,0,0,0,0,1.2e-6,0,0,0,1.1e-6,1.04e-6,0,1.7e-6,0,2e-6,0,0,0,0,0,7.5e-6,0,1.53e-6,0,0,3.9e-6,1.96e-5,5.8e-6,0,5.4e-5,0,2.5e-6,1.29e-6,1.15e-6,0,1.4e-6,0,0,1.07e-6,0,3.8e-7,0,0,6.3e-7,0,1.45e-6,1.49e-6,8.9e-7,0,1.87e-5,0,0,0,0,0,1.6e-6,0,0,1.17e-6,0,0,4.7e-6,1.4e-6,3e-5,0,0,0,0,0,0,5.1e-6,0,5.23e-6,8.9e-7,0,0,1.38e-6,0,1.7e-6
18567,0,0,0,0,0,0,0,0,1.11e-6,0,2.16e-6,0,0,0,2.1e-6,0,0,0,0,0,9.8e-6,0,1.26e-6,9.2e-7,0,6.5e-7,4.6e-6,3e-6,4.6e-6,2.9e-5,1.78e-6,1.6e-6,2.67e-6,0,0,0,2.2e-6,0,2.8e-7,0,1.17e-6,8.2e-7,1.1e-6,0,0,1.04e-6,3.73e-6,0,0,4.71e-5,0,0,8.6e-6,0,0,0,0,0,0,0,8.6e-6,0,4.7e-6,0,5.51e-6,0,3e-6,0,0,0,0,0,4.73e-6,0,0,0,0,2.8e-6,0
18597,1.5e-6,0,0,0,2.1e-6,0,0,0,0,0,2.41e-6,0,0,0,0,0,0,0,0,0,7.2e-6,0,2.11e-6,1e-6,0,0,8.7e-6,0,0,4.4e-5,0,2e-6,0,3.65e-6,0,0,9.5e-6,7.7e-7,2.8e-7,0,1.59e-6,0,0,2.88e-6,7e-7,4.1e-6,4.39e-6,1.92e-6,0,2.1e-5,1.11e-5,0,0,0,0,0,0,0,0,0,9e-6,2.01e-5,0,4.3e-6,2.21e-6,1.17e-5,0,3e-5,0,0,0,0,4.77e-6,3.97e-6,0,0,1.79e-6,0,0
18628,1.5e-6,0,0,0,0,0,0,0,0,0,2.19e-6,2.26e-6,0,0,4.6e-6,0,0,0,0,0,1.02e-5,0,2.24e-6,1.02e-6,1.4e-6,0,9.3e-6,0,1.01e-5,8.3e-5,5.2e-7,1.8e-6,0,1.21e-6,4.7e-6,0,0,7.9e-7,8.9e-7,0,4.2e-7,0,0,3.8e-6,0,1.87e-6,4.22e-6,0,2.23e-5,1.407e-4,0,4e-6,9.5e-6,0,0,0,0,0,0,3e-6,6.6e-6,1.59e-5,0,0,1.16e-6,1.25e-5,0,0,0,8.3e-7,0,0,7.69e-6,0,0,0,8.9e-7,0,0
18659,0,0,0,0,2e-6,0,0,0,0,0,2.68e-6,2.05e-6,0,0,0,0,0,0,0,0,9.9e-6,0,1.35e-6,0,2.6e-6,0,1.26e-5,1.29e-5,7.2e-6,4.5e-5,0,2.5e-6,0,2.3e-6,1.59e-5,1.4e-6,0,0,0,0,0,0,1.01e-6,3.51e-6,0,2.82e-6,7e-6,0,0,3.22e-5,3.8e-6,1.1e-5,0,0,6.1e-5,2e-6,0,0,0,0,0,2.47e-5,3.1e-6,0,0,0,0,0,0,7.5e-7,0,0,3.82e-6,1.98e-6,7.2e-6,0,8e-7,0,0
18687,1.3e-6,0,0,0,0,1.67e-5,0,2.5e-6,0,0,6.1e-7,0,0,0,0,0,0,0,0,0,8.1e-6,0,1.37e-6,0,0,2.66e-6,1.1e-5,9.5e-6,2.4e-6,7.3e-5,0,3.2e-6,2.01e-6,0,0,1.4e-6,0,0,0,0,1.17e-6,8.4e-7,0,4.88e-6,0,5.1e-6,8e-7,0,0,9.2e-5,0,3.5e-6,0,0,1.8e-5,0,2.14e-5,0,0,0,0,4.6e-6,6.2e-6,0,1.03e-6,1.02e-5,0,0,0,0,0,0,1.14e-6,9.7e-7,1e-6,0,4.3e-7,0,0
18718,0,0,0,0,0,2.4e-6,0,0,0,0,1.05e-6,0,0,0,0,0,0,0,0,0,9.1e-6,0,2.16e-6,0,0,0,6.2e-6,3.3e-6,0,3.9e-5,0,3.5e-6,7.2e-7,0,6.2e-6,0,0,7.6e-7,3e-7,0,7.9e-7,0,0,6.58e-6,1.46e-6,4.08e-6,5.28e-6,1.99e-6,0,4.24e-5,7.5e-6,0,0,4e-6,1.22e-4,0,0,0,1.19e-6,0,6e-6,0,1.6e-6,0,0,0,0,0,0,0,0,0,1.59e-6,2.04e-6,0,0,0,8.9e-6,0
