Period,Kaluga Oblast,Kostroma Oblast,Kursk Oblast,Lipetsk Oblast,Oryol Oblast,Ryazan Oblast,Smolensk Oblast,Tambov Oblast,Tver Oblast,Tula Oblast,Yaroslavl Oblast,Saint Petersburg,Leningrad Oblast,Arkhangel'skaya Oblast',Vologda Oblast,Kaliningrad Oblast,Murmansk Oblast,Novgorod Oblast,Pskov Oblast,Republic of Karelia,Moscow,Komi Republic,Kirov Oblast,Nizhny Novgorod Oblast',Orenburg Oblast,Penza Oblast,Perm Krai,Republic of Bashkortostan,Mari El Republic,Republic of Mordovia,Republic of Tatarstan,Moscow Oblast,Samara Oblast,Saratov Oblast,Udmurt Republic,Ulyanovsk Oblast,Chuvash Republic,Astrakhan Oblast,Volgograd Oblast,Krasnodar Krai,Republic of Adygea,Republic of Kalmykia,Belgorod Oblast,Rostov Oblast,Altai Krai,Irkutsk Oblast,Kemerovo Oblast,Krasnoyarsk Krai,Novosibirsk Oblast,Omsk Oblast,Altai Republic,Tyva Republic,Republic of Khakassia,Bryansk Oblast,Tomsk District,Amur Oblast,Jewish Autonomous Oblast,Zabaykalsky Krai,Kamchatka Krai,Magadan District,Primorsky Krai,Republic of Buryatia,Sakha (Yakutia) Republic,Sakhalin District,Vladimir Oblast,Khabarovsk Krai,The Kabardino-Balkar Republic,Karachay-Cherkess Republic,Republic of Dagestan,Republic of Ingushetia,Republic of North Ossetia — Alania,Stavropol Krai,Chechen Republic,Kurgan Oblast,Sverdlovsk Oblast,Voronezh Oblast,Tyumen Oblast,Khanty-Mansi Autonomous Okrug — Yugra,Chelyabinsk Oblast,Yamalo-Nenets Autonomous Okrug,Ivanovo Oblast
18140,1338,676,1065,1230,677,1252,763,651,1456,1614,1713,17466,2119,1053,1194,891,1063,936,452,610,46606,884,1463,6788,2294,955,2833,4489,443,668,4251,16945,5372,2112,2036,1214,1237,803,1987,6792,305,95,1630,4238,2034,2489,3995,4085,5397,1973,116,124,479,956,781,506,83,794,308,121,1596,473,437,254,1511,1624,205,119,412,52,293,2272,102,522,8363,4116,1888,2192,4610,770,985
18170,1484,686,969,1189,751,1121,877,773,1482,1201,1408,14977,1958,920,1236,965,1061,835,521,669,44044,800,1483,6632,1945,1130,2774,4258,363,569,4414,15704,5046,2017,1721,1051,1277,519,2026,6851,314,89,1498,4222,2251,2235,3836,4097,4567,1908,158,164,377,1166,666,501,66,742,389,109,1645,401,463,334,1397,1685,243,109,458,56,266,2047,110,610,7482,3902,1875,2136,4345,677,917
18201,1176,484,828,1135,515,952,604,700,1117,1397,1522,14272,1948,948,1096,794,952,716,428,531,44545,701,1103,5938,1799,893,2521,3725,457,998,3628,12858,4275,1827,1796,1121,1213,738,1846,6616,269,97,1552,4087,2343,2119,3663,3726,4628,1730,173,249,325,918,730,550,61,686,286,132,1797,412,346,282,1292,1499,301,136,410,104,264,1997,139,524,6709,3530,1641,1708,4018,689,967
18231,1455,608,1108,1274,893,1376,811,960,1435,1789,1884,17926,2427,1050,1400,1176,1108,927,624,711,46799,847,1433,7321,2333,1358,3114,4955,566,759,4337,18778,5595,2233,2084,1345,1722,922,2156,8321,360,104,1917,5445,2483,2588,4565,4226,5436,2253,273,203,536,1132,818,731,101,791,383,131,2506,488,482,374,1647,1935,519,106,531,86,300,2816,229,754,8369,4501,2359,2249,5002,937,1191
18262,1344,605,960,1215,799,1220,709,884,1293,1436,1611,17666,2125,826,1435,987,1079,974,612,703,45343,917,1178,6757,2311,1150,2990,4624,669,725,3892,16993,5139,2294,2100,1312,1636,871,1931,7160,314,101,1673,5277,2296,2772,4237,3766,5312,2164,164,153,492,1058,809,684,100,1087,322,96,2292,508,587,318,1582,1558,481,135,511,69,287,2746,188,671,8838,4746,2016,2225,5191,898,1101
18293,1146,620,900,1154,735,1113,685,764,1206,1247,1719,16475,2035,942,1299,1014,1012,762,528,599,40936,912,1297,6658,2197,1238,3010,4619,650,790,4152,16114,5017,2107,2122,1346,1464,759,2016,6450,396,105,1870,4329,2287,2446,4196,4139,5247,1847,179,162,512,932,816,724,85,915,290,158,2020,448,455,265,1449,1671,317,89,478,66,255,2303,317,596,8751,3887,2038,2377,5068,836,1015
18322,1968,1160,1592,2010,1132,1981,1461,1318,1906,2290,2576,20837,3086,1604,1569,1461,1721,950,992,873,40753,1311,1668,9750,3458,1982,4814,8099,861,1231,7360,18811,7780,3675,3201,2291,2325,1251,3439,10834,482,236,2661,7165,3330,4124,5254,4893,7215,2805,306,318,848,2090,1493,851,137,1345,320,185,2688,996,805,539,2754,2459,876,178,1497,143,455,3771,351,1248,11997,4543,2719,3455,8298,1017,1720
18353,1807,1010,1541,1941,942,1863,1338,1153,2226,1855,2117,17237,2529,1690,1629,1279,1415,848,905,712,43466,1452,2118,7944,3597,1676,3648,6499,773,1049,6414,19779,6622,3639,2400,1733,2214,1371,2704,10081,645,173,3186,6651,3282,3686,5925,4867,6843,2922,235,349,854,1841,1132,872,141,1204,330,153,2576,825,975,541,2284,2126,477,147,1103,120,358,3816,305,1144,10297,4265,2366,3349,6121,1090,1527
18383,1596,946,1251,1445,1021,1336,1005,834,1612,1809,1902,16186,2600,1045,1410,1230,1067,702,683,666,43654,875,1568,7557,3113,1549,3526,5093,890,1065,5043,19102,4995,2801,2959,1844,1717,979,2974,8298,426,240,2046,5872,2703,3004,4144,3953,4923,2246,284,270,638,1511,1071,654,86,1000,229,91,2169,564,591,364,1820,1694,592,195,1153,158,427,3474,558,670,8461,4421,2011,2740,5189,633,1203
18414,1226,803,1004,1147,800,1229,895,734,1350,1416,1617,15459,2096,632,1108,1030,773,646,503,481,47376,762,1077,6402,2714,976,2667,3990,620,634,3854,16142,3981,1978,1815,1313,1309,686,2113,6964,312,150,1697,4733,2222,2334,3373,2820,4242,1747,171,106,422,1086,726,513,67,729,237,106,1710,476,327,316,1464,1248,377,161,1155,128,388,2617,428,533,6750,3601,1778,1892,3839,528,895
