Region,Year,Jumush,Rabota
Ryazan Oblast,2017,22,387402
Ryazan Oblast,2018,102,4332323
Ryazan Oblast,2019,79,4702080
Ryazan Oblast,2020,142,6221769
Ryazan Oblast,2021,90,7278212
Ryazan Oblast,2022,75,6970647
Ryazan Oblast,2023,78,6200434
Ryazan Oblast,2024,726,5454905
Saint Petersburg,2017,286,3594596
Saint Petersburg,2018,3482,40324276
Saint Petersburg,2019,3414,41541649
Saint Petersburg,2020,3917,47820030
Saint Petersburg,2021,3794,48931747
Saint Petersburg,2022,2925,44876101
Saint Petersburg,2023,1224,35595643
Saint Petersburg,2024,1080,31471796
Sakha (Yakutia) Republic,2017,15,121407
Sakha (Yakutia) Republic,2018,106,1530361
Sakha (Yakutia) Republic,2019,45,1833308
Sakha (Yakutia) Republic,2020,38,2632338
Sakha (Yakutia) Republic,2021,84,2963546
Sakha (Yakutia) Republic,2022,87,3102925
Sakha (Yakutia) Republic,2023,74,3094190
Sakha (Yakutia) Republic,2024,57,2837607
Sakhalin District,2017,233,96872
Sakhalin District,2018,3034,1123780
Sakhalin District,2019,5249,1221342
Sakhalin District,2020,4102,1653507
Sakhalin District,2021,1428,1962912
Sakhalin District,2022,356,2173111
Sakhalin District,2023,153,1977229
Sakhalin District,2024,241,1755012
Samara Oblast,2017,9,1193370
Samara Oblast,2018,272,16888105
Samara Oblast,2019,497,17882470
Samara Oblast,2020,254,17968181
Samara Oblast,2021,182,17789556
Samara Oblast,2022,110,17574449
Samara Oblast,2023,90,15703639
Samara Oblast,2024,97,13703682
Saratov Oblast,2017,10,748304
Saratov Oblast,2018,54,8426681
Saratov Oblast,2019,150,9170892
Saratov Oblast,2020,33,11544841
Saratov Oblast,2021,74,13011949
Saratov Oblast,2022,32,12636468
Saratov Oblast,2023,69,11207584
Saratov Oblast,2024,21,9656379
Smolensk Oblast,2017,5,291552
Smolensk Oblast,2018,99,3360588
Smolensk Oblast,2019,24,3503729
Smolensk Oblast,2020,39,4366152
Smolensk Oblast,2021,65,5136770
Smolensk Oblast,2022,24,5313949
Smolensk Oblast,2023,24,4596040
Smolensk Oblast,2024,21,3917096
Stavropol Krai,2017,4,769436
Stavropol Krai,2018,43,8735119
Stavropol Krai,2019,60,9704849
Stavropol Krai,2020,34,12113315
Stavropol Krai,2021,44,12684879
Stavropol Krai,2022,32,12494581
Stavropol Krai,2023,17,11026888
Stavropol Krai,2024,24,9591167
Sverdlovsk Oblast,2017,214,2067082
Sverdlovsk Oblast,2018,2796,23644981
Sverdlovsk Oblast,2019,2056,26343584
Sverdlovsk Oblast,2020,1599,30472859
Sverdlovsk Oblast,2021,1259,29666131
Sverdlovsk Oblast,2022,738,28005856
