Year,Region,Fitted Values,Lower Bound,Upper Bound
2024,Magadan District,593.7620841055739,-1536.7381820617848,2724.262350272932
2019,Mari El Republic,-265.58840851500395,-2396.088674682362,1864.9118576523545
2020,Mari El Republic,-227.81765647442455,-2358.3179226417833,1902.682609692934
2021,Mari El Republic,105.41394725712269,-2025.086318910236,2235.914213424481
2022,Mari El Republic,120.50972634226719,-2009.9905398250917,2251.0099925096256
2023,Mari El Republic,79.43005698949628,-2051.070209177862,2209.9303231568547
2024,Mari El Republic,-124.09495551766952,-2254.595221685028,2006.405310649689
2019,Moscow,-554.1542675429816,-2684.6545337103403,1576.345998624377
2020,Moscow,1077.2876456946415,-1053.212620472717,3207.787911862
2021,Moscow,1685.9755288943243,-444.52473727303413,3816.4757950616827
2022,Moscow,4960.414651645858,2829.9143854784998,7090.914917813217
2023,Moscow,1282.899911786287,-847.6003543810712,3413.4001779536457
2024,Moscow,2048.191462869309,-82.30880329804961,4178.691729036667
2019,Moscow Oblast,4819.703819436105,2689.203553268746,6950.204085603463
2020,Moscow Oblast,4644.695838264213,2514.1955720968544,6775.196104431571
2021,Moscow Oblast,5182.111841799726,3051.611575632367,7312.612107967085
2022,Moscow Oblast,5068.620739695482,2938.1204735281244,7199.121005862841
2023,Moscow Oblast,2572.9354022262046,442.4351360588461,4703.435668393563
2024,Moscow Oblast,2342.587652741565,212.08738657420656,4473.087918908924
2019,Murmansk Oblast,-48.58563425454804,-2179.0859004219064,2081.9146319128104
2020,Murmansk Oblast,122.16936418159537,-2008.3309019857634,2252.6696303489534
2021,Murmansk Oblast,338.1003169141238,-1792.3999492532348,2468.600583081482
2022,Murmansk Oblast,375.0761119416137,-1755.4241542257446,2505.576378108972
2023,Murmansk Oblast,697.2249518911223,-1433.2753142762363,2827.725218058481
2024,Murmansk Oblast,817.3065082541175,-1313.193757913241,2947.806774421476
2019,Nizhny Novgorod Oblast',990.3058388582001,-1140.1944273091583,3120.8061050255587
2020,Nizhny Novgorod Oblast',945.960777731829,-1184.5394884355294,3076.4610438991876
2021,Nizhny Novgorod Oblast',830.617120475428,-1299.8831456919302,2961.1173866427866
2022,Nizhny Novgorod Oblast',340.5759788412606,-1789.9242873260978,2471.076245008619
2023,Nizhny Novgorod Oblast',455.99221077608615,-1674.5080553912721,2586.4924769434447
2024,Nizhny Novgorod Oblast',537.317302368096,-1593.1829637992623,2667.8175685354545
2019,Novgorod Oblast,-102.93425612157569,-2233.434522288934,2027.5660100457828
2020,Novgorod Oblast,-94.54228026400199,-2225.0425464313603,2035.9579859033565
2021,Novgorod Oblast,-7.788147179994098,-2138.2884133473526,2122.712118987364
2022,Novgorod Oblast,150.3307036594058,-1980.1695625079528,2280.830969826764
2023,Novgorod Oblast,162.7189431301084,-1967.7813230372503,2293.2192092974665
2024,Novgorod Oblast,114.12348891881527,-2016.376777248543,2244.623755086174
2019,Novosibirsk Oblast,1959.5699295723905,-170.9303365949679,4090.0701957397487
2020,Novosibirsk Oblast,1485.4690826237904,-645.031183543568,3615.969348791149
2021,Novosibirsk Oblast,1714.3350315325263,-416.16523463483213,3844.835297699885
2022,Novosibirsk Oblast,2314.04098503957,183.5407188722113,4444.541251206929
2023,Novosibirsk Oblast,1837.3539436385827,-293.14632252877595,3967.854209805941
2024,Novosibirsk Oblast,1851.7519216366081,-278.7483445307505,3982.2521878039665
2019,Omsk Oblast,-39.90259560601805,-2170.4028617733766,2090.5976705613402
2020,Omsk Oblast,69.48979304747229,-2061.0104731198867,2199.9900592148306
2021,Omsk Oblast,196.20236882651875,-1934.2978973408399,2326.702634993877
2022,Omsk Oblast,255.93431418513217,-1874.5659519822261,2386.4345803524907
2023,Omsk Oblast,405.55308546034075,-1724.9471807070177,2536.053351627699
2024,Omsk Oblast,686.9281064056863,-1443.572159761672,2817.4283725730447
2019,Orenburg Oblast,196.1537963235163,-1934.346469843842,2326.654062490875
2020,Orenburg Oblast,355.86001741837384,-1774.640248748985,2486.360283585732
2021,Orenburg Oblast,358.90147110346675,-1771.5987950638919,2489.401737270825
2022,Orenburg Oblast,388.5437873588105,-1741.9564788085477,2519.044053526169
2023,Orenburg Oblast,197.02874011524727,-1933.4715260521111,2327.529006282606
2024,Orenburg Oblast,632.4978506471416,-1498.0024155202168,2762.9981168145
2019,Oryol Oblast,-431.17669605205424,-2561.676962219413,1699.3235701153042
2020,Oryol Oblast,-251.367081243857,-2381.8673474112156,1879.1331849235014
2021,Oryol Oblast,116.58781276517232,-2013.9124534021862,2247.088078932531
2022,Oryol Oblast,110.90531247085994,-2019.5949536964986,2241.4055786382182
2023,Oryol Oblast,78.19770839166551,-2052.302557775693,2208.6979745590243
2024,Oryol Oblast,-28.737501985883455,-2159.237768153242,2101.762764181475
2019,Penza Oblast,211.0786250438042,-1919.4216411235539,2341.578891211163
2020,Penza Oblast,253.54181034561645,-1876.958455821742,2384.0420765129747
2021,Penza Oblast,285.32530927467997,-1845.1749568926784,2415.8255754420384
2022,Penza Oblast,347.9034880256261,-1782.5967781417326,2478.4037541929847
2023,Penza Oblast,395.80607310967434,-1734.694193057684,2526.3063392770327
2024,Penza Oblast,203.23512832416577,-1927.2651378431924,2333.735394491524
2019,Perm Krai,184.56904017054262,-1945.9312259968156,2315.0693063379013
2020,Perm Krai,466.83245370061127,-1663.6678124667474,2597.33271986797
2021,Perm Krai,341.02602717229513,-1789.4742389950634,2471.5262933396534
2022,Perm Krai,285.6250016987993,-1844.8752644685592,2416.1252678661576
2023,Perm Krai,503.8678197577888,-1626.6324464095696,2634.368085925147
2024,Perm Krai,174.27324279949312,-1956.2270233678655,2304.7735089668513
2019,Primorsky Krai,1028.0601661346552,-1102.4401000327034,3158.5604323020134
2020,Primorsky Krai,1478.6727027801571,-651.8275633872013,3609.1729689475155
2021,Primorsky Krai,2556.315231585665,425.8149654183069,4686.815497753023
2022,Primorsky Krai,1623.8515240453012,-506.64874212205746,3754.3517902126596
2023,Primorsky Krai,590.7421382443675,-1539.7581279229908,2721.242404411726
2024,Primorsky Krai,1181.2977227734968,-949.2025433938613,3311.7979889408557
2019,Pskov Oblast,-456.80055608542966,-2587.300822252788,1673.699710081929
2020,Pskov Oblast,-285.0290956818699,-2415.5293618492287,1845.4711704854885
2021,Pskov Oblast,14.119790628315172,-2116.3804755390433,2144.6200567956735
2022,Pskov Oblast,46.12106359696054,-2084.379202570398,2176.621329764319
2023,Pskov Oblast,66.60264481945273,-2063.8976213479054,2197.1029109868114
2024,Pskov Oblast,225.9815046056973,-1904.5187615616614,2356.4817707730554
2019,Republic of Adygea,-370.1113227324713,-2500.6115888998293,1760.388943434887
2020,Republic of Adygea,-141.40114890739528,-2271.901415074754,1989.0991172599631
2021,Republic of Adygea,193.14045620327545,-1937.359809964083,2323.6407223706337
2022,Republic of Adygea,195.18223975777244,-1935.3180264095863,2325.6825059251305
2023,Republic of Adygea,187.54815838624688,-1942.9521077811114,2318.0484245536054
2024,Republic of Adygea,-23.110687492780357,-2153.6109536601393,2107.389578674578
2019,Republic of Bashkortostan,886.5826300402878,-1243.9176361270706,3017.082896207646
2020,Republic of Bashkortostan,575.3494716530441,-1555.1507945143144,2705.849737820403
2021,Republic of Bashkortostan,985.4382690551738,-1145.0619971121846,3115.938535222532
2022,Republic of Bashkortostan,417.25211214578144,-1713.2481540215772,2547.75237831314
2023,Republic of Bashkortostan,591.4760701853198,-1539.0241959820387,2721.976336352678
2024,Republic of Bashkortostan,378.5166348831882,-1751.9836312841703,2509.0169010505465
2019,Republic of Buryatia,127.76023330746125,-2002.7400328598974,2258.26049947482
2020,Republic of Buryatia,117.32009828770856,-2013.1801678796496,2247.820364455067
2021,Republic of Buryatia,523.7842901408018,-1606.7159760265567,2654.28455630816
2022,Republic of Buryatia,275.38192511081735,-1855.1183410565413,2405.882191278176
2023,Republic of Buryatia,188.6912518042053,-1941.809014363153,2319.1915179715643
2024,Republic of Buryatia,-89.41157977066996,-2219.9118459380284,2041.0886863966884
2019,Republic of Dagestan,89.06058456397227,-2041.4396816033864,2219.560850731331
2020,Republic of Dagestan,171.72941029105561,-1958.7708558763024,2302.2296764584144
2021,Republic of Dagestan,353.6772258384153,-1776.823040328943,2484.1774920057737
2022,Republic of Dagestan,80.03446692867021,-2050.4657992386883,2210.5347330960285
2023,Republic of Dagestan,200.08321557545696,-1930.417050591901,2330.5834817428154
2024,Republic of Dagestan,-190.67121808426373,-2321.1714842516217,1939.8290480830947
2019,Republic of Ingushetia,-1.570036949013911,-2132.0703031163725,2128.9302292183447
2020,Republic of Ingushetia,-225.00552001979986,-2355.5057861871583,1905.4947461475585
2021,Republic of Ingushetia,-232.52508016553315,-2363.0253463328913,1897.9751860018253
2022,Republic of Ingushetia,-242.26297624613994,-2372.7632424134986,1888.2372899212185
2023,Republic of Ingushetia,-408.6356557111792,-2539.1359218785374,1721.8646104561792
2024,Republic of Ingushetia,126.2310853186965,-2004.269180848662,2256.731351486055
2019,Republic of Kalmykia,-332.60907441538393,-2463.109340582742,1797.8911917519745
2020,Republic of Kalmykia,20.812688598492628,-2109.687577568866,2151.312954765851
2021,Republic of Kalmykia,18.690606162765675,-2111.809660004593,2149.190872330124
2022,Republic of Kalmykia,26.52610533890288,-2103.9741608284558,2157.026371506261
2023,Republic of Kalmykia,-162.13830481952914,-2292.6385709868878,1968.3619613478293
2024,Republic of Kalmykia,-119.47960221279902,-2249.9798683801573,2011.0206639545595
2019,Republic of Karelia,-586.5218702411173,-2717.022136408476,1543.978395926241
2020,Republic of Karelia,-406.9416926299648,-2537.441958797323,1723.5585735373938
2021,Republic of Karelia,41.59567093908527,-2088.904595228273,2172.0959371064437
2022,Republic of Karelia,73.66947035242447,-2056.830795814934,2204.169736519783
2023,Republic of Karelia,20.273504337214945,-2110.226761830143,2150.7737705045733
2024,Republic of Karelia,-105.09226280607515,-2235.5925289734337,2025.4080033612834
